 REG_CIS       NAZOV                                       JCM11         MNOZ
279325         UDENA KRK.BEZ KOSTI TOSM                        0.0000    0.00
279326         UD.STEHNO TOSM                                  0.0000    0.00
279327         UDENE KARE KLASICKE                             0.0000    0.00
279328         UD.STEHNO S KOZOU                               0.0000    0.00
29             JELENIA KLOBASA                                 0.0000    0.00
3              STRAZOVSKA SAL.                                 0.0000    0.00
30             KRK S KOSTOU BALENY                             0.0000    0.00
3000           Skuska 23                                       0.0000    0.00
31             Hov.plece mrazene                               0.0000    0.00
315            Jahnacie plece                                  0.0000    0.00
3162           TOSKANSKA KLOBASA                               0.0000    0.00
3164           KURACIE PRSIA BEZ KOSTI                         0.0000    0.00
3164521        DebrecÌnske p·rky                               0.0000    0.00
31647          udene masove kosti                              0.0000    0.00
3164789        KURAC.STEHNA UDENE                              0.0000    0.00
31648          UDENY BOK B.K.                                  0.0000    0.00
31649          orechy                                          0.0000    0.00
316497         telaci krk                                      0.0000    0.00
316499         BravËovÈ p·rky                                  0.0000    0.00
3165           BravËov· masù 1kg                               0.0000    0.00
31650          UDENE KARE SOLENE S KOSTOU                      0.0000    0.00
31651          SPENAT                                          0.0000    0.00
31652          »ingov MIK                                      0.0000    0.00
31657          Litovska salama 100g                            0.0000    0.00
31658          KLOBASA NA GRILOVANIE MTV                       0.0000    0.00
3167           OBALOVANY KARFIOL                               0.0000    0.00
316798         UDENY KRK S KOSTOU SOLENY                       0.0000    0.00
31697          HOV.LYTKO MRAZENE                               0.0000    0.00
31698          Hov.vysoka rostenka                             0.0000    0.00
3197           KURACIE KRKY                                    0.0000    0.00
32             Susena krv                                      0.0000    0.00
3214           Slivkove knedlicky                              0.0000    0.00
32147          Kuracia sunka 100g                              0.0000    0.00
32154          POHARE+VIECKA                                   0.0000    0.00
32164          KRK KLASICKY SOLENY                             0.0000    0.00
321648         PEPPERONI SALAMA NAREZ                          0.0000    0.00
32165          RALEX 75/55 OH.LIPT.SAL.                        0.0000    0.00
3217           Kabanos                                         0.0000    0.00
321745         Klobasa stiplava                                0.0000    0.00
3218           Kacacie stehna HU                               0.0000    0.00
3219           LOSOS S KOZOU FILETY                            0.0000    0.00
3220           HRANOLKY                                        0.0000    0.00
3221           HYDINOVY PARIZER                                0.0000    0.00
323            TEKVICA MRAZENA                                 0.0000    0.00
3254           Udena krk.b.k.spec uprava                       0.0000    0.00
326            paprika paliva                                  0.0000    0.00
3261           BravËov· masù voæn·                             0.0000    0.00
32614          OSKVARKY MLETE                                  0.0000    0.00
32647          SUNKOVA PENA                                    0.0000    0.00
3265           PONITRAN SALAMA                                 0.0000    0.00
32651          Javoricke parky                                 0.0000    0.00
3265147        Kacica chladena                                 0.0000    0.00
326547         husacia pecen                                   0.0000    0.00
326548         HOV.VYREZ MRAZENY                               0.0000    0.00
32655          KURACIE SOTE VAK.BAL.                           0.0000    0.00
32657          TATRANSKA SALAMA                                0.0000    0.00
326587         KRV                                             0.0000    0.00
326598         JELENIA SVIECKOVA                               0.0000    0.00
3266           NITRAN BIVOJ                                    0.0000    0.00
32660          OSKVARKY MLETE                                  0.0000    0.00
32661          Nakladane brav.maso 250g                        0.0000    0.00
32662          Sunkovy narez 100g                              0.0000    0.00
32663          Palivec 100g                                    0.0000    0.00
32664          TOREADOR                                        0.0000    0.00
32665          Sunkova salama 75g                              0.0000    0.00
32666          TEKVICA REZANA                                  0.0000    0.00
32667          ZELENINA WOK                                    0.0000    0.00
32668          PRINC 100g                                      0.0000    0.00
3267           SULANCE                                         0.0000    0.00
32670          HYDINOVA SUNKOVA SALAMA                         0.0000    0.00
32671          KURACIE PRSIA PLNENE 100g                       0.0000    0.00
32672          HYDINOVE PARKY SO SYROM                         0.0000    0.00
32673          CHICKEN NUGGETS -PRSIA                          0.0000    0.00
32674          VB LUNCHMEAT                                    0.0000    0.00
32675          ZELENINA MEDITERRAN                             0.0000    0.00
32676          DebrecÌnka 70g                                  0.0000    0.00
3268           SAFTEX                                          0.0000    0.00
3270           Salama junior                                   0.0000    0.00
3271           Pressburg salama                                0.0000    0.00
3272           Tarohove knedlicky                              0.0000    0.00
3274           Majka 48g                                       0.0000    0.00
3276           CHOPOK SALAMA                                   0.0000    0.00
3277           HYDINOVA NATIERKA                               0.0000    0.00
3278           HYDINOVA SUNKA 75g                              0.0000    0.00
3279           HYDINOVA POLOSUCHA SALAMA                       0.0000    0.00
328            SUNKOVA SALAMA 70G                              0.0000    0.00
3280           HRIANKA NATIERKA                                0.0000    0.00
3281           BÙËikov· pena                                   0.0000    0.00
3282           PLNENE KURACIE PRSIA                            0.0000    0.00
3283           KURACIE PECIENKY TB MRAZ.                       0.0000    0.00
3284           TORRERO                                         0.0000    0.00
3285           KACACIA NATIERKA                                0.0000    0.00
3286           TRESKA V MAJONEZE 140g                          0.0000    0.00
3287           LIPTOVSKA SALAMA 80g                            0.0000    0.00
3288           KURACIA SUNKA 70g                               0.0000    0.00
3289           SLEPACIE VYKOST STEHNO                          0.0000    0.00
3290           Cesnakov· sal·ma toËen·                         0.0000    0.00
3291           UDENE MASO                                      0.0000    0.00
3292           TRVANLIVA SALAMA MIK                            0.0000    0.00
3293           ZELEN.ZMES-LECO                                 0.0000    0.00
3294           MAHI-MAHI FILETY                                0.0000    0.00
3298           UDENE PLECE S KOSTOU                            0.0000    0.00
33             KURACIE STEHIENKA                               0.0000    0.00
3457           KLOBASA NA PECENIE                              0.0000    0.00
3467           KOLUMBUS                                        0.0000    0.00
34978          obaly                                           0.0000    0.00
35             KRVAVNICKY                                      0.0000    0.00
357            PARIZER MIK                                     0.0000    0.00
358749         Morcacie stehna horne b.k mraz                  0.0000    0.00
3598           TELACIA 1/2                                     0.0000    0.00
36             KACACIE STEHNO                                  0.0000    0.00
36125          TURISTA MIK PORCOVANA 75g                       0.0000    0.00
361254         DiviaËi gul·ö                                   0.0000    0.00
3614           UDENE KARE S KOZOU                              0.0000    0.00
36145          PARKY                                           0.0000    0.00
361457         KONSKA SALAMA                                   0.0000    0.00
36147          HRASOK                                          0.0000    0.00
36148          SACOK NA HAMBURGER                              0.0000    0.00
361487         ORAVA SUROVA                                    0.0000    0.00
3615           KURACIE TRUPY                                   0.0000    0.00
36150          KUR.PRSIA S KOST. A KOZOU                       0.0000    0.00
36151          PAPRIKOVA SALAMA                                0.0000    0.00
36152          KOLIENKOVY NAREZ                                0.0000    0.00
36153          Moravske maso                                   0.0000    0.00
36154          TLACENKA UDENA                                  0.0000    0.00
36155          SALAMA MADARSKA                                 0.0000    0.00
36156          PRINC                                           0.0000    0.00
36158          PLNENE KARE                                     0.0000    0.00
36159          SUNKOVA PENA MATKO                              0.0000    0.00
3616           KURACIE KOSTI                                   0.0000    0.00
36160          SUCHA SALAMA TRVANLIVA 100g VB                  0.0000    0.00
36161          Dusen· öunka 100g                               0.0000    0.00
3617           KURACIA DRT MRAZENA                             0.0000    0.00
3619           SEDLIACKE OSKVARKY                              0.0000    0.00
362            KURACIE STEHNO MRAZ.                            0.0000    0.00
3620           BravËov· masù                                   0.0000    0.00
36214          KECUP                                           0.0000    0.00
362145         ZMRZLINA                                        0.0000    0.00
362147         Hov.falosna mrazena                             0.0000    0.00
36215          PIZZA SUNKOVA GASTRO 600g                       0.0000    0.00
36217          Spisske parky                                   0.0000    0.00
36219          Kupelna sunka                                   0.0000    0.00
36220          Sucha salama                                    0.0000    0.00
36221          Umele creva 40                                  0.0000    0.00
36222          Turisticka salama 80g                           0.0000    0.00
36224          OSKVARKY VYROBNE                                0.0000    0.00
36225          JELENIA SVIECKOVA                               0.0000    0.00
36226          MALOKARPATSKA 70g                               0.0000    0.00
36227          VB DOMACA KLOBASA                               0.0000    0.00
3624           SUNKOVA PENA MIK                                0.0000    0.00
36245          VB SEKANA                                       0.0000    0.00
36248          KURACIE KOZE                                    0.0000    0.00
36249          HUSACI TUK                                      0.0000    0.00
3625           KURACIE SRDCIA                                  0.0000    0.00
36251          MRAZENE HOKAIDO                                 0.0000    0.00
36254          BravËov˝ lalok s koûou ˙den˝                    0.0000    0.00
